"Data","Od","Do","Przedmiot","Semestr","Grupa","Sala"
"2019.04.04","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.04.04","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.04.06","09:40","11:20","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 A","WI WI1- 309"
"2019.04.06","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 A","WI WI1- 309"
"2019.04.06","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 B","WI WI1- 316"
"2019.04.06","15:10","16:45","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 B","WI WI1- 316"
"2019.04.07","08:00","09:35","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.04.07","13:30","15:05","Historia informatyki","semestr 2","HSPO1_HI_W","WI WI1- 206"
"2019.04.10","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.04.10","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.04.11","08:15","10:00","Historia informatyki","semestr 1","lato_HSPO1_Hi_W","WI WI2- 100"
"2019.04.11","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.04.11","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.04.13","09:40","14:15","Programowanie wizualne","semestr 2","SP_PK_sem_2_W","WI WI2- 100"
"2019.04.14","08:00","09:35","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.04.14","09:40","14:15","Programowanie wizualne","semestr 2","SP_PK_sem_2_W","WI WI1- 128"
"2019.04.15","08:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.04.15","10:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.04.15","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
"2019.04.17","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.04.17","14:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
"2019.04.18","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.04.18","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.04.18","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.04.24","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.04.24","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.04.25","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.04.25","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.04.27","08:50","11:20","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_1gr","WI WI1- 011"
"2019.04.27","11:25","14:15","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_2gr","WI WI1- 011"
"2019.04.28","08:50","11:20","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_2gr","WI WI1- 011"
"2019.04.28","11:25","14:15","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_1gr","WI WI1- 011"
"2019.05.08","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.05.08","14:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
"2019.05.09","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.05.09","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.05.09","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.05.11","08:50","11:20","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_1gr","WI WI1- 011"
"2019.05.11","11:25","14:15","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_2gr","WI WI1- 011"
"2019.05.11","15:10","16:45","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.05.12","08:50","11:20","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_2gr","WI WI1- 011"
"2019.05.12","11:25","14:15","Programowanie wizualne","semestr 2","SP_PK_sem._2_L_1gr","WI WI1- 011"
"2019.05.13","08:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.05.13","10:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.05.13","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
"2019.05.15","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.05.15","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.05.16","08:15","10:00","Historia informatyki","semestr 1","lato_HSPO1_Hi_W","WI WI2- 100"
"2019.05.16","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.05.16","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.05.18","16:50","18:25","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.05.18","18:30","20:05","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.05.19","08:00","09:35","Historia informatyki","semestr 2","HSPO1_HI_W","WI WI1- 206"
"2019.05.19","09:40","11:20","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.05.19","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 A","WI WI1- 309"
"2019.05.19","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 B","WI WI1- 309"
"2019.05.22","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.05.22","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.05.22","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.05.27","08:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.05.27","10:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.05.27","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
